TEXT REPORT

Test Program: FAN5069 (QC-ROOM) No Version#
Lot ID: CUR020104_R25_Q1
Operator: OPERATOR
Computer: TMT-23

Date: 01/27/24 10:40:03

Serial Number: 1
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5937| 1 |      v |          -1 |        -0.3 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5479| 1 |      v |          -1 |        -0.3 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5391| 1 |      v |          -1 |        -0.3 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5344| 1 |      v |          -1 |        -0.3 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5326| 1 |      v |          -1 |        -0.3 |              |
| 001.01.06 |EN_PIN_7        |      -0.5089| 1 |      v |          -1 |        -0.3 |              |
| 001.01.07 |ILIM_PIN_3      |      -0.4694| 1 |      v |          -1 |        -0.2 |              |
| 001.01.08 |SS_PIN_4        |      -0.5903| 1 |      v |          -1 |        -0.3 |              |
| 001.01.09 |COMP_PIN_5      |      -0.5910| 1 |      v |          -1 |        -0.3 |              |
| 001.01.10 |FB_PIN_6        |      -0.5921| 1 |      v |          -1 |        -0.3 |              |
| 001.01.11 |RAMP_PIN_14     |      -0.7233| 1 |      v |          -1 |        -0.3 |              |
| 001.01.12 |FBLDO_PIN_1     |      -0.5945| 1 |      v |          -1 |        -0.3 |              |
| 001.01.13 |GLDO_PIN_16     |      -0.6017| 1 |      v |          -1 |        -0.3 |              |
| 001.02.01 |IVCC NORMAL     |       7.6001| 1 |     mA |           1 |          15 |       NORMAL |
| 001.02.02 |IEN NORMAL      |      -0.0014| 1 |     uA |          -5 |           5 |       NORMAL |
| 001.02.03 |IFB NORMAL      |      -0.2229| 1 |     uA |          -1 |           1 |       NORMAL |
| 001.02.04 |VCC_5_6 SHUNT   |       5.7066| 1 |      V |        5.45 |         5.9 |        SHUNT |
| 001.02.05 |VCC_5_9 SHUNT   |       5.7825| 1 |      V |        5.45 |         5.9 |        SHUNT |
| 001.02.06 |VCC QUIESENT    |       7.0868| 1 |     mA |           1 |        9.05 |     QUIESENT |
| 001.03.01 |IVCC DISABLE    |     157.4573| 1 |     uA |          50 |         400 |      DISABLE |
| 001.03.02 |IEN DISABLE     |     -56.9482| 1 |     uA |         -80 |         -35 |      DISABLE |
| 001.03.03 |IFB DISABLE     |      -0.0102| 1 |     uA |          -2 |           2 |      DISABLE |
| 001.04.01 |EN Rising       |       1.3000| 1 |      V |           1 |         1.8 |    THRESHOLD |
| 001.04.02 |EN Falling      |       1.0850| 1 |      V |         0.9 |         1.6 |    THRESHOLD |
| 001.04.03 |EN Hyst         |       0.2150| 1 |      V |           0 |           0 |    THRESHOLD |
| 001.05.01 |VCC_UVLO RISING |       4.2400| 1 |      V |           4 |         4.5 |         UVLO |
