TEXT REPORT

Test Program: FAN5069 (FC-ROOM) No Version#
Lot ID: CUR020112_R25_R1
Operator: OPERATOR
Computer: TMT-23

Date: 01/28/24 20:40:55

Serial Number: 1
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5913| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5498| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5382| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5325| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5488| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.06 |EN_PIN_7        |      -0.5067| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.07 |ILIM_PIN_3      |      -0.4758| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.08 |SS_PIN_4        |      -0.5845| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.09 |COMP_PIN_5      |      -0.5876| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.10 |FB_PIN_6        |      -0.5894| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.11 |RAMP_PIN_14     |      -0.7219| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.12 |FBLDO_PIN_1     |      -0.5911| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.13 |GLDO_PIN_16     |      -0.6388| 1 |      v |        -0.9 |       -0.35 |              |
| 001.02.01 |IVCC NORMAL     |       8.1578| 1 |     mA |         1.1 |          14 |       NORMAL |
| 001.02.02 |IEN NORMAL      |       0.0007| 1 |     uA |          -4 |           4 |       NORMAL |
| 001.02.03 |IFB NORMAL      |      -0.2703| 1 |     uA |        -0.9 |         0.9 |       NORMAL |
| 001.02.04 |VCC_5_6 SHUNT   |       5.7188| 1 |      V |         5.5 |        5.85 |        SHUNT |
| 001.02.05 |VCC_5_9 SHUNT   |       5.7809| 1 |      V |         5.5 |        5.87 |        SHUNT |
| 001.02.06 |VCC QUIESENT    |       6.9838| 1 |     mA |        1.01 |           9 |     QUIESENT |
| 001.03.01 |IVCC DISABLE    |     156.2506| 1 |     uA |        50.1 |         350 |      DISABLE |
| 001.03.02 |IEN DISABLE     |     -56.9597| 1 |     uA |         -78 |         -40 |      DISABLE |
| 001.03.03 |IFB DISABLE     |      -0.0359| 1 |     uA |          -1 |           1 |      DISABLE |
| 001.04.01 |EN Rising       |       1.3000| 1 |      V |         1.1 |         1.6 |    THRESHOLD |
| 001.04.02 |EN Falling      |       1.0900| 1 |      V |        0.92 |         1.4 |    THRESHOLD |
| 001.04.03 |EN Hyst         |       0.2100| 1 |      V |           0 |           0 |    THRESHOLD |
| 001.05.01 |VCC_UVLO RISING |       4.2100| 1 |      V |        4.02 |        4.48 |         UVLO |
| 001.05.02 |VCC_UVLO FALLIN |       3.7200| 1 |      V |        3.62 |        4.02 |         UVLO |
| 001.05.03 |VCC_UVLO HYSTER |       0.4900| 1 |      V |         0.4 |        0.66 |         UVLO |
| 001.06.01 |Iss@ SS= 0      |     -10.6016| 1 |     uA |       -11.8 |        -8.2 |              |
| 001.06.02 |Iss @ SS=4.5    |      -9.6690| 1 |     uA |       -12.8 |        -7.2 |              |
| 001.06.03 |SS Threshold    |       1.2050| 1 |      V |        1.12 |        1.38 |              |
| 001.07.01 |OPEN FREQ HD    |     340.9101| 1 |    KHZ |         243 |         357 |              |
| 001.07.02 |OPEN FREQ LD    |     342.1397| 1 |    KHZ |         243 |         357 |              |
| 001.07.03 |RISE TIME HD    |      39.6638| 1 |     nS |          10 |          75 |              |
| 001.07.04 |FALL TIME HD    |      29.1434| 1 |     nS |          10 |          75 |              |
| 001.07.05 |RISE TIME LD    |      25.2058| 1 |     nS |          10 |          75 |              |
| 001.07.06 |FALL TIME LD    |      27.1241| 1 |     nS |          10 |          75 |              |
| 001.07.07 |DEAD T HD TO LD |      27.5417| 1 |     nS |          10 |          90 |              |
| 001.07.08 |DEAD T LD TO HD |      47.3215| 1 |     nS |          10 |          90 |              |
| 001.07.09 |OPEN FREQ LD    |     223.9870| 1 |    KHZ |         155 |         245 |              |
| 001.07.10 |OPEN FREQ HD    |     224.0020| 1 |    KHZ |         155 |         245 |              |
| 001.08.01 |Pwm DCycle High |      80.2898| 1 |      % |          47 |          92 |  COMP LINEAR |
| 001.08.02 |Pwm DCycle Low  |      41.9923| 1 |      % |          23 |          62 |  COMP LINEAR |
| 001.09.01 |ILIM VOLTAGE    |       5.2091| 1 |      V |         4.3 |         5.7 |              |
| 001.09.02 |ILIM CURRENT    |      10.4181| 1 |     uA |        9.15 |       10.85 |              |
| 001.10.01 |EA SOURCE       |   -2561.8274| 1 |     uA |       -4500 |       -1000 |              |
| 001.10.02 |EA I SINK       |   10197.3516| 1 |     uA |        5000 |    1.5e+004 |              |
| 001.10.03 |EA_OUT HIGH     |       3.6187| 1 |      V |        3.45 |        3.95 |              |
| 001.10.04 |EA_OUT HI LOAD  |       3.5217| 1 |      V |        3.45 |        3.95 |              |
| 001.10.05 |EA_OUT LOW      |       0.0644| 1 |      V |         4.2 |         0.2 |              |
| 001.11.01 |ERROR AMP OFFSE |       0.0100| 1 |      V |      -0.005 |       0.022 |              |
| 001.11.02 |RAMP AMPLITUDE  |       1.8331| 1 |      V |        1.45 |       1.925 |     THESHOLD |
| 001.12.01 |LDO OUT VOLTAGE |       1.1985| 1 |      V |       1.175 |       1.225 |              |
| 001.12.02 |FBLDO ISOURCE   |       4.9107| 1 |      V |         4.5 |         5.5 |              |
| 001.12.03 |FBLDO ISINK     |       0.0448| 1 |      V |        -0.5 |         0.2 |              |
| 001.12.04 |FB RISING       |       0.8050| 1 |      V |        0.78 |       0.823 |              |
| 001.12.05 |SS LDO STARTUP  |       2.1000| 1 |      V |        1.85 |        2.45 |              |
| 001.13.01 |OVP VSEN PIN 23 |     113.9750| 1 |      % |       110.5 |         122 |              |
| 001.13.02 |UVP VSEN PIN 23 |      75.2250| 1 |      % |        65.5 |        79.5 |              |
| 001.14.01 |Ramp Voltage    |       1.8833| 1 |      V |        1.83 |        2.02 |              |
| 001.14.02 |Close Loop _N_l |       1.4795| 1 |      V |        1.46 |       1.535 |              |
| 001.14.03 |Close Loop _w_l |       1.4899| 1 |      V |        1.46 |       1.535 |              |
| 001.14.04 |Fb pin voltage  |       0.8074| 1 |      V |       0.795 |       0.815 |              |
| 001.14.05 |Rt pin voltage  |       1.7786| 1 |      V |        1.74 |        1.84 |              |
| 001.15.01 |ILIM VOLTAGE    |       5.3659| 1 |      V |         4.3 |         5.7 |              |
| 001.15.02 |ILIM_VCC_5_0V   |      10.7318| 1 |     uA |        9.15 |       10.85 |              |
| 001.15.03 |ILIM_VCC_5_6V   |      10.7484| 1 |     uA |        9.15 |          11 |              |
| 001.15.04 |ILIM_VCC_5_7V   |      10.7543| 1 |     uA |        9.15 |          11 |              |
| 001.15.05 |ILIM_VCC_5_8V   |      10.7481| 1 |     uA |        9.15 |          11 |              |
| 001.15.06 |ILIM_VCC_5_6_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.07 |ILIM_VCC_5_7_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.08 |ILIM_VCC_5_8_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.09 |SHUNT_REG_ON    |       5.8000| 1 |      V |        5.55 |           6 |              |
| 001.15.10 |Ilim_Delta      |       0.0503| F |      V |       -0.12 |       0.044 |              |

Serial Number: 2
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5939| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5493| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5384| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5368| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5288| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.06 |EN_PIN_7        |      -0.5082| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.07 |ILIM_PIN_3      |      -0.4777| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.08 |SS_PIN_4        |      -0.5861| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.09 |COMP_PIN_5      |      -0.5919| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.10 |FB_PIN_6        |      -0.5931| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.11 |RAMP_PIN_14     |      -0.7281| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.12 |FBLDO_PIN_1     |      -0.5953| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.13 |GLDO_PIN_16     |      -0.6038| 1 |      v |        -0.9 |       -0.35 |              |
| 001.02.01 |IVCC NORMAL     |       8.1198| 1 |     mA |         1.1 |          14 |       NORMAL |
| 001.02.02 |IEN NORMAL      |       0.0011| 1 |     uA |          -4 |           4 |       NORMAL |
| 001.02.03 |IFB NORMAL      |      -0.2485| 1 |     uA |        -0.9 |         0.9 |       NORMAL |
| 001.02.04 |VCC_5_6 SHUNT   |       5.6984| 1 |      V |         5.5 |        5.85 |        SHUNT |
| 001.02.05 |VCC_5_9 SHUNT   |       5.7482| 1 |      V |         5.5 |        5.87 |        SHUNT |
| 001.02.06 |VCC QUIESENT    |       6.9121| 1 |     mA |        1.01 |           9 |     QUIESENT |
| 001.03.01 |IVCC DISABLE    |     160.7116| 1 |     uA |        50.1 |         350 |      DISABLE |
| 001.03.02 |IEN DISABLE     |     -57.3485| 1 |     uA |         -78 |         -40 |      DISABLE |
| 001.03.03 |IFB DISABLE     |      -0.0259| 1 |     uA |          -1 |           1 |      DISABLE |
| 001.04.01 |EN Rising       |       1.2400| 1 |      V |         1.1 |         1.6 |    THRESHOLD |
| 001.04.02 |EN Falling      |       1.0650| 1 |      V |        0.92 |         1.4 |    THRESHOLD |
| 001.04.03 |EN Hyst         |       0.1750| 1 |      V |           0 |           0 |    THRESHOLD |
| 001.05.01 |VCC_UVLO RISING |       4.2400| 1 |      V |        4.02 |        4.48 |         UVLO |
| 001.05.02 |VCC_UVLO FALLIN |       3.7400| 1 |      V |        3.62 |        4.02 |         UVLO |
| 001.05.03 |VCC_UVLO HYSTER |       0.5000| 1 |      V |         0.4 |        0.66 |         UVLO |
| 001.06.01 |Iss@ SS= 0      |     -10.6205| 1 |     uA |       -11.8 |        -8.2 |              |
| 001.06.02 |Iss @ SS=4.5    |      -9.7161| 1 |     uA |       -12.8 |        -7.2 |              |
| 001.06.03 |SS Threshold    |       1.2000| 1 |      V |        1.12 |        1.38 |              |
| 001.07.01 |OPEN FREQ HD    |     355.8993| 1 |    KHZ |         243 |         357 |              |
| 001.07.02 |OPEN FREQ LD    |     355.6938| 1 |    KHZ |         243 |         357 |              |
| 001.07.03 |RISE TIME HD    |      39.5840| 1 |     nS |          10 |          75 |              |
| 001.07.04 |FALL TIME HD    |      29.4443| 1 |     nS |          10 |          75 |              |
| 001.07.05 |RISE TIME LD    |      24.4390| 1 |     nS |          10 |          75 |              |
| 001.07.06 |FALL TIME LD    |      30.5895| 1 |     nS |          10 |          75 |              |
| 001.07.07 |DEAD T HD TO LD |      23.2819| 1 |     nS |          10 |          90 |              |
| 001.07.08 |DEAD T LD TO HD |      49.8753| 1 |     nS |          10 |          90 |              |
| 001.07.09 |OPEN FREQ LD    |     222.9504| 1 |    KHZ |         155 |         245 |              |
| 001.07.10 |OPEN FREQ HD    |     223.0020| 1 |    KHZ |         155 |         245 |              |
| 001.08.01 |Pwm DCycle High |      86.9418| 1 |      % |          47 |          92 |  COMP LINEAR |
| 001.08.02 |Pwm DCycle Low  |      44.3161| 1 |      % |          23 |          62 |  COMP LINEAR |
| 001.09.01 |ILIM VOLTAGE    |       5.0303| 1 |      V |         4.3 |         5.7 |              |
| 001.09.02 |ILIM CURRENT    |      10.0606| 1 |     uA |        9.15 |       10.85 |              |
| 001.10.01 |EA SOURCE       |   -2561.1414| 1 |     uA |       -4500 |       -1000 |              |
| 001.10.02 |EA I SINK       |    9965.6680| 1 |     uA |        5000 |    1.5e+004 |              |
| 001.10.03 |EA_OUT HIGH     |       3.6181| 1 |      V |        3.45 |        3.95 |              |
| 001.10.04 |EA_OUT HI LOAD  |       3.5215| 1 |      V |        3.45 |        3.95 |              |
| 001.10.05 |EA_OUT LOW      |       0.0641| 1 |      V |         4.2 |         0.2 |              |
| 001.11.01 |ERROR AMP OFFSE |       0.0100| 1 |      V |      -0.005 |       0.022 |              |
| 001.11.02 |RAMP AMPLITUDE  |       1.8328| 1 |      V |        1.45 |       1.925 |     THESHOLD |
| 001.12.01 |LDO OUT VOLTAGE |       1.1995| 1 |      V |       1.175 |       1.225 |              |
| 001.12.02 |FBLDO ISOURCE   |       4.9013| 1 |      V |         4.5 |         5.5 |              |
| 001.12.03 |FBLDO ISINK     |       0.0504| 1 |      V |        -0.5 |         0.2 |              |
| 001.12.04 |FB RISING       |       0.8050| 1 |      V |        0.78 |       0.823 |              |
| 001.12.05 |SS LDO STARTUP  |       2.1000| 1 |      V |        1.85 |        2.45 |              |
| 001.13.01 |OVP VSEN PIN 23 |     115.8500| 1 |      % |       110.5 |         122 |              |
| 001.13.02 |UVP VSEN PIN 23 |      75.2250| 1 |      % |        65.5 |        79.5 |              |
| 001.14.01 |Ramp Voltage    |       1.8746| 1 |      V |        1.83 |        2.02 |              |
| 001.14.02 |Close Loop _N_l |       1.4778| 1 |      V |        1.46 |       1.535 |              |
| 001.14.03 |Close Loop _w_l |       1.4866| 1 |      V |        1.46 |       1.535 |              |
| 001.14.04 |Fb pin voltage  |       0.8064| 1 |      V |       0.795 |       0.815 |              |
| 001.14.05 |Rt pin voltage  |       1.7647| 1 |      V |        1.74 |        1.84 |              |
| 001.15.01 |ILIM VOLTAGE    |       5.1487| 1 |      V |         4.3 |         5.7 |              |
| 001.15.02 |ILIM_VCC_5_0V   |      10.2974| 1 |     uA |        9.15 |       10.85 |              |
| 001.15.03 |ILIM_VCC_5_6V   |      10.3017| 1 |     uA |        9.15 |          11 |              |
| 001.15.04 |ILIM_VCC_5_7V   |      10.2884| 1 |     uA |        9.15 |          11 |              |
| 001.15.05 |ILIM_VCC_5_8V   |      10.2925| 1 |     uA |        9.15 |          11 |              |
| 001.15.06 |ILIM_VCC_5_6_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.07 |ILIM_VCC_5_7_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.08 |ILIM_VCC_5_8_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.09 |SHUNT_REG_ON    |       5.7000| 1 |      V |        5.55 |           6 |              |
| 001.15.10 |Ilim_Delta      |       0.0250| 1 |      V |       -0.12 |       0.044 |              |

Serial Number: 3
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5939| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5494| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5386| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5366| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5151| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.06 |EN_PIN_7        |      -0.5085| 1 |      v |        -0.9 |       -0.35 |              |
